                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1728,                 3.4793,                0.97841,                0.00699,                0.94708,                0.38407,                0.29448,                 1.1933,                 3.2933,                0.93219,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.1426,                 1.6761,                0.94436,                 0.0069,                0.94343,                0.54932,                 0.3703,                 1.2631,                 3.1329,                0.95325,             0.00034545,             0.00034545,             0.00034545
                      3,                 1.1293,                 1.3327,                0.96417,                0.00598,                0.84156,                0.19188,                0.14489,                 1.1052,                 3.4305,                0.97861,             0.00051936,             0.00051936,             0.00051936
                      4,                 1.1183,                 1.2193,                0.95988,                 0.5536,                0.02855,                0.07592,                0.04735,                 1.2021,                  3.418,                 1.0147,             0.00068842,             0.00068842,             0.00068842
                      5,                 1.1075,                 1.1445,                0.96223,                0.60211,                0.06872,                0.14658,                0.10358,                 1.2559,                  3.132,                 1.0115,             0.00085265,             0.00085265,             0.00085265
                      6,                 1.1504,                 1.1156,                 0.9794,                0.79647,                0.07216,                0.12792,                0.08348,                 1.2129,                 2.9744,                0.99072,               0.001012,               0.001012,               0.001012
                      7,                 1.1247,                 1.0922,                0.98364,                0.20848,                0.05364,                0.06648,                0.04253,                  1.353,                 3.0886,                 1.0721,              0.0011666,              0.0011666,              0.0011666
                      8,                 1.1966,                 1.0952,                0.99173,                0.57445,                0.31984,                0.34823,                0.20341,                 1.4228,                 2.4044,                 1.0766,              0.0013163,              0.0013163,              0.0013163
                      9,                 1.1457,                 1.0296,                0.98609,                0.79317,                0.74515,                0.79871,                0.51191,                 1.3228,                 1.4887,                 1.0476,              0.0014611,              0.0014611,              0.0014611
                     10,                 1.1238,                 1.0005,                0.97623,                0.78976,                0.75803,                0.83742,                  0.547,                 1.3598,                 1.2944,                 1.0549,               0.001469,               0.001469,               0.001469
                     11,                 1.1817,                0.99616,                 1.0049,                0.76797,                0.59544,                0.74571,                0.48304,                 1.3509,                 1.7131,                  1.104,               0.001447,               0.001447,               0.001447
                     12,                  1.129,                0.94475,                0.98863,                0.66357,                0.56393,                0.63547,                0.42846,                 1.3226,                 1.5957,                 1.0821,               0.001425,               0.001425,               0.001425
                     13,                 1.1197,                0.90297,                0.97756,                0.75107,                0.67182,                0.73138,                0.48941,                 1.3432,                 1.3339,                 1.0855,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.0982,                0.86215,                0.96943,                0.81951,                0.79324,                0.86298,                0.60169,                 1.2017,                0.99087,                 1.0174,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0869,                 0.8588,                0.97359,                0.70609,                0.74644,                0.85909,                0.60486,                 1.2055,                 1.0462,                 1.0092,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0679,                0.81843,                0.96176,                0.70135,                0.66946,                0.76016,                0.53709,                 1.1861,                 1.1025,                 1.0093,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0573,                0.79765,                0.96106,                0.80731,                0.80269,                0.89404,                0.61144,                 1.1999,                  0.896,                 0.9986,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0653,                0.81809,                0.96849,                0.80738,                0.77487,                0.87504,                0.62667,                 1.1444,                0.91895,                 1.0207,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0419,                0.78363,                0.96074,                0.82493,                0.76364,                0.86346,                0.60251,                 1.1539,                 1.0414,                 0.9964,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0477,                0.76591,                0.95657,                0.83711,                0.75266,                0.85702,                0.60934,                 1.1777,                0.94899,                 1.0087,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.0153,                0.74089,                0.94543,                0.73717,                0.71056,                0.79722,                0.57236,                 1.1123,                0.99975,                0.97166,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.0185,                0.73105,                0.95365,                0.87976,                0.72945,                0.86364,                0.62221,                 1.1446,                0.90219,                0.99902,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.0123,                0.73246,                0.94161,                 0.8341,                0.84703,                0.89497,                0.64406,                 1.1248,                0.83477,                0.97257,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.0083,                0.72628,                0.94487,                0.86953,                0.80596,                0.89723,                0.64342,                 1.1184,                0.85794,                0.97428,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.0229,                 0.7296,                0.94865,                0.87592,                0.78281,                 0.8842,                0.63562,                 1.1102,                0.90843,                0.98896,              0.0011389,              0.0011389,              0.0011389
                     26,                0.97554,                0.69996,                0.93283,                0.87458,                0.77733,                 0.9001,                0.65871,                 1.0908,                 0.7711,                0.96755,              0.0011169,              0.0011169,              0.0011169
                     27,                0.95388,                0.68372,                0.93283,                0.86325,                0.83156,                0.92016,                0.68559,                 1.0595,                0.74917,                0.95464,              0.0010949,              0.0010949,              0.0010949
                     28,                0.91516,                0.65892,                0.92164,                0.89504,                0.81049,                0.91955,                0.68351,                 1.0699,                0.73246,                0.95764,              0.0010729,              0.0010729,              0.0010729
                     29,                0.94826,                0.65983,                0.93082,                0.91724,                0.72976,                 0.8453,                0.63178,                 1.0496,                0.83819,                0.95195,              0.0010509,              0.0010509,              0.0010509
                     30,                 0.9558,                0.66154,                 0.9307,                0.86418,                0.85603,                0.89716,                0.67626,                 1.0332,                 0.7676,                 0.9541,              0.0010289,              0.0010289,              0.0010289
                     31,                0.91218,                0.64215,                0.92902,                0.88775,                0.80238,                0.90459,                0.67711,                  1.029,                0.76046,                0.94433,              0.0010069,              0.0010069,              0.0010069
                     32,                 0.9273,                0.64105,                0.92509,                0.89848,                0.82071,                0.91543,                 0.6721,                  1.043,                0.75009,                0.95334,             0.00098486,             0.00098486,             0.00098486
                     33,                0.92086,                0.64324,                0.91612,                0.90702,                0.82417,                0.93358,                0.70418,                 1.0483,                 0.7198,                0.94798,             0.00096286,             0.00096286,             0.00096286
                     34,                0.89246,                0.63265,                0.92075,                0.86661,                0.87753,                0.93072,                0.69106,                 1.0347,                0.75954,                0.95789,             0.00094085,             0.00094085,             0.00094085
                     35,                 0.9055,                0.62795,                0.90956,                 0.8786,                0.84412,                0.93066,                0.70328,                 1.0416,                0.71263,                0.94976,             0.00091885,             0.00091885,             0.00091885
                     36,                0.90135,                0.63602,                0.92057,                0.89526,                0.85452,                0.92453,                0.69579,                  1.034,                0.70692,                0.94169,             0.00089685,             0.00089685,             0.00089685
                     37,                 0.8913,                0.60667,                0.90399,                0.87339,                0.88212,                0.92703,                0.70975,                0.97575,                0.67288,                0.93531,             0.00087484,             0.00087484,             0.00087484
                     38,                0.88746,                0.59197,                0.90663,                0.86377,                0.86482,                0.92091,                0.70788,                 0.9828,                0.68766,                0.93205,             0.00085284,             0.00085284,             0.00085284
